Player,ast_per_g,blk_per_g,fg2_pct,fg3_pct,height,lb,pts_per_g,stl_per_g,tov_per_g,trb_per_g,years,Pick,WS,Games,School
Michael Beasley,1.2,1.6,0.562,0.379,81,235,26.2,1.3,2.9,12.4,1,2,13,509,Kansas State
O.J. Mayo,3.3,0.4,0.464,0.409,76,210,20.7,1.5,3.5,4.5,1,3,21.8,547,Southern California
Russell Westbrook,2.5,0.1,0.491,0.354,75,187,8.3,1,2.5,2.4,2,4,80.1,668,UCLA
Kevin Love,1.9,1.4,0.611,0.354,82,260,17.5,0.7,2,10.6,1,5,70.6,576,UCLA
Eric Gordon,2.4,0.6,0.525,0.337,75,222,20.9,1.3,3.6,3.3,1,7,26.3,492,Indiana
Joe Alexander,2,1.2,0.488,0.295,80,230,12.1,0.6,2.2,4.8,3,8,0.5,67,West Virginia
D.J. Augustin,6.2,0,0.463,0.402,72,180,16.9,1.4,2.8,2.9,2,9,30.9,651,Texas
Brook Lopez,1.1,1.9,0.491,0.143,84,260,16,0.5,2.1,7.1,2,10,49.6,562,Stanford
Jerryd Bayless,4,0.1,0.489,0.407,75,200,19.7,1,3,2.7,1,11,17.6,513,Arizona
Jason Thompson,2,1.9,0.544,0.291,83,250,16.7,0.9,2.9,9.6,4,12,0,2,Rider
Brandon Rush,2,0.8,0.458,0.435,78,210,13.6,0.7,1.8,5.5,3,13,11.2,481,Kansas
Anthony Randolph,1.2,2.3,0.483,0.105,82,205,15.6,1.1,3,8.5,1,14,5.8,252,Louisiana State
Robin Lopez,0.8,2.3,0.511,0.5,84,255,9,0.3,1.8,5.6,2,15,38.3,628,Stanford
Marreese Speights,0.5,0.9,0.633,0,82,245,9.5,0.3,1.7,5.4,2,16,25.2,653,Florida
Roy Hibbert,1.3,1.9,0.602,1,86,278,10.9,0.4,1.7,5.9,4,17,35.9,662,Georgetown
JaVale McGee,0.3,1.8,0.563,0.356,84,237,8.7,0.5,2.4,4.8,2,18,23.2,493,"University of Nevada, Reno"
J.J. Hickson,1,1.5,0.593,0,81,242,14.8,0.7,2.7,8.5,1,19,21.9,534,North Carolina State
Ryan Anderson,1,0.5,0.532,0.396,81,216,18.7,0.5,2.2,9,2,21,42.2,556,California
Courtney Lee,2.2,0.6,0.498,0.401,77,200,17.6,1.9,2.3,5.2,4,22,34.3,677,Western Kentucky
Kosta Koufos,0.5,1.8,0.535,0.349,84,265,14.4,0.4,1.5,6.7,1,23,23.7,573,Ohio State
George Hill,3.3,0.3,0.565,0.404,74,180,17,1.6,2.9,5.8,4,26,53.9,599,IUPUI
Darrell Arthur,0.6,1.4,0.552,0.118,81,225,11.3,0.7,1.9,5.5,2,27,12.4,484,Kansas
Donte Greene,2,1.6,0.492,0.345,83,226,17.7,1.3,2.6,7.2,1,28,1.5,253,Syracuse
D.J. White,0.9,2,0.563,0.333,81,251,14.6,0.7,1.9,7.6,4,29,3.8,138,Indiana
J.R. Giddens,2.8,0.9,0.545,0.313,77,215,16.1,1.2,2.2,7.8,4,30,0.1,38,New Mexico
Walter Sharpe,1.7,1.8,0.535,0,81,245,14.2,1.2,2.8,6.8,3,32,-0.1,8,Alabama at Birmingham
Joey Dorsey,0.5,1.8,0.614,0,80,268,6.7,1.1,1.1,8.1,4,33,2.9,130,Memphis
Mario Chalmers,3.8,0.4,0.545,0.419,73,190,12.2,2.6,1.9,2.8,3,34,31.7,580,Kansas
DeAndre Jordan,0.4,1.3,0.617,0,83,250,7.9,0.2,1.6,6,1,35,66.9,673,Texas A&M
